Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,3,2101,0.3504395350168456,0.33555449785816277
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,4,2533,0.4538670235526359,0.43110935649427556
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,5,2966,0.5512127638747382,0.5128118678354686
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,6,4467,0.6557483194870839,0.6169688829191852
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,7,7218,0.7543759884085144,0.7236076475477972
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,8,8478,0.8497566791617328,0.8117480537862704
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,9,7077,0.9321671740911397,0.920729122509538
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,0,82297,0.013565016532646974,0.020571831293971835
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,1,16740,0.14741413754855007,0.17455197132616487
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,2,12339,0.2472328460395737,0.2542345408866197
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,3,9643,0.34977885538965764,0.3336098724463341
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,4,11555,0.4543755022492155,0.4377325832972739
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,5,13277,0.5530722107551108,0.5394290878963621
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,6,22015,0.6555774225691571,0.6285714285714286
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,7,33590,0.7536344532545708,0.7349806490026793
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,8,34863,0.8509954041042054,0.8499268565527923
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,Shifted Test,9,31781,0.932126821270861,0.9396809414430005
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,0,13438,0.023416806944314555,0.014064592945378776
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,1,2670,0.14868410848053207,0.149812734082397
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,2,2639,0.2514151680498875,0.26487305797650623
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,3,3133,0.3506014061324177,0.35748483881263965
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,4,4221,0.4532133891483077,0.4186211798152097
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,5,5662,0.5514624108488339,0.5510420346167432
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,6,7339,0.6522047064872541,0.6593541354407958
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,7,9988,0.7517442544925962,0.7514016820184221
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,8,7499,0.8437677791856546,0.8087745032671023
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,In-domain Test,9,234,0.9077794330242352,0.9230769230769231
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,0,68382,0.022727564564675104,0.019742037378257436
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,1,13447,0.14853758515955356,0.15661485833271363
Feature Shift,Citizenship_Nativity_Ancestry,Logistic Regression,42,Shifted Test,2,13087,0.25082047565003224,0.27355390845877586
