Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Feature Shift,Education,LightGBM,44,Shifted Test,0.011967555160245958,0.0002562077913354882,0.12451977886343113,0.24770630103032082,0.45528974514347986,0.45210742260350617,0.12278422621632538,0.2477227732526549,0.4561660211712442,0.2850764640059679,0.10219321148825065,0.3525167405605316
Feature Shift,Education,Logistic Regression,42,In-domain Test,0.03261026727762404,0.0014906514771511415,0.08961762343021601,0.24807746849500822,0.4887635854762408,0.45615331819861676,0.1598950900980161,0.24807746865637376,0.4561660211712442,0.194340319940869,0.003449307498724108,0.30007070302963257
Feature Shift,Education,Logistic Regression,42,Shifted Test,0.018579549981728172,0.0007360833674424193,0.09336411058300308,0.24770630103032082,0.4695581063938242,0.45210742260350617,0.1547916470504246,0.2477227732526549,0.4561660211712442,0.21157403953748602,0.004382693024990675,0.30443617701530457
Feature Shift,Education,Logistic Regression,43,In-domain Test,0.033644143584677405,0.0017786349445307313,0.09005118176504608,0.24807746849500822,0.48979746178329414,0.45615331819861676,0.1597356479647729,0.24807746865637376,0.4561660211712442,0.1946042975555673,0.003554898544603418,0.2991364002227783
Feature Shift,Education,Logistic Regression,43,Shifted Test,0.020015710701165788,0.0008233738167664816,0.09325518465731772,0.24770630103032082,0.4706839001049374,0.45210742260350617,0.1550473156158857,0.2477227732526549,0.4561660211712442,0.2095822454308094,0.0042969041402461765,0.3032428026199341
Feature Shift,Education,Logistic Regression,44,In-domain Test,0.033527247828279254,0.0015750315479166356,0.0890035608017234,0.24807746849500822,0.489680566026896,0.45615331819861676,0.16060839558339693,0.24807746865637376,0.4561660211712442,0.19557221547612763,0.0029741477922672157,0.3001173138618469
Feature Shift,Education,Logistic Regression,44,Shifted Test,0.017921575433028067,0.0007066523053199312,0.09310765981171724,0.24770630103032082,0.46920971720778576,0.45210742260350617,0.15508726992088162,0.2477227732526549,0.4561660211712442,0.2122491607609101,0.0040208877284595304,0.3040403425693512
Label Noise,0% Noise,LightGBM,42,In-domain Test,0.020169533747786003,0.0006855208113165408,0.12471494934659912,0.24807746849500822,0.4763228519464027,0.45615331819861676,0.12345018610702983,0.24807746865637376,0.4561660211712442,0.2796930820266441,0.12869788641923166,0.3610556423664093
Label Noise,0% Noise,LightGBM,42,Shifted Test,0.010892431537201274,0.00019818579119262888,0.12767714721288154,0.24770630103032082,0.45452066154714243,0.45210742260350617,0.11934167237930665,0.2477227732526549,0.4561660211712442,0.30043267437523313,0.12206266318537859,0.36173704266548157
Label Noise,0% Noise,LightGBM,43,In-domain Test,0.01976769813345098,0.0006258046289265544,0.12528146770863333,0.24807746849500822,0.47592101633206774,0.45615331819861676,0.12282265260700753,0.24807746865637376,0.4561660211712442,0.27805642081551485,0.12956021329391268,0.35980674624443054
Label Noise,0% Noise,LightGBM,43,Shifted Test,0.011332102642961125,0.0002186233044827086,0.1276606602661117,0.24770630103032082,0.4552113567108469,0.45210742260350617,0.11940458628570001,0.2477227732526549,0.4561660211712442,0.29791495710555765,0.12444237224916076,0.3611324727535248
Label Noise,0% Noise,LightGBM,44,In-domain Test,0.020671428119136696,0.0006823148862631744,0.12356601895233027,0.24807746849500822,0.47682474631775346,0.45615331819861676,0.12431919452553007,0.24807746865637376,0.4561660211712442,0.28205128205128205,0.1309328968903437,0.36110493540763855
Label Noise,0% Noise,LightGBM,44,Shifted Test,0.010802002568425687,0.00018686949953900366,0.12754939752668198,0.24770630103032082,0.45416840468331954,0.45210742260350617,0.11943500044274682,0.2477227732526549,0.4561660211712442,0.30150317045878405,0.12323759791122715,0.36142316460609436
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,0.02613849068430936,0.0009293471075368001,0.09242094771736466,0.24807746849500822,0.4822918088829261,0.45615331819861676,0.15616139813937482,0.24807746865637376,0.4561660211712442,0.2323178994421273,0.012178167291413688,0.31306180357933044
Label Noise,0% Noise,Logistic Regression,42,Shifted Test,0.011878889042566773,0.0002517172186131779,0.09668062551630294,0.24770630103032082,0.46065542304619306,0.45210742260350617,0.1506701801539464,0.2477227732526549,0.4561660211712442,0.25154419992540095,0.011917195076464005,0.31558021903038025
Label Noise,0% Noise,Logistic Regression,43,In-domain Test,0.026461856868764563,0.0009555288388820052,0.09249781947929218,0.24807746849500822,0.48261517506738133,0.45615331819861676,0.15613578459787927,0.24807746865637376,0.4561660211712442,0.2321771113809549,0.0123189553525861,0.31242382526397705
Label Noise,0% Noise,Logistic Regression,43,Shifted Test,0.011652898721980323,0.00025224249838645343,0.09655746697479287,0.24770630103032082,0.4612682572340689,0.45210742260350617,0.15079167358150064,0.2477227732526549,0.4561660211712442,0.25114882506527414,0.01206639313688922,0.3150257170200348
Label Noise,0% Noise,Logistic Regression,44,In-domain Test,0.027314334998445756,0.0009566699690558761,0.09147387277539008,0.24807746849500822,0.4834676531970625,0.45615331819861676,0.15695904242580572,0.24807746865637376,0.4561660211712442,0.2335145979620928,0.011738204600249899,0.31339263916015625
Label Noise,0% Noise,Logistic Regression,44,Shifted Test,0.010631697953018824,0.00022266769207805815,0.09637015919709771,0.24770630103032082,0.46014399072520573,0.45210742260350617,0.15092459191804738,0.2477227732526549,0.4561660211712442,0.25269302499067514,0.011294293174188735,0.315395325422287
Label Noise,10% Noise,LightGBM,42,In-domain Test,0.06556419740052519,0.005687122325825306,0.12371391751842736,0.24807746849500822,0.4877594783831692,0.45615331819861676,0.12911058036904435,0.24807746865637376,0.4561660211712442,0.036745683965999684,0.0003871671682241346,0.28541693091392517
Label Noise,10% Noise,LightGBM,42,Shifted Test,0.06610651777320777,0.005505010411644042,0.1267421917435343,0.24770630103032082,0.47087743540865906,0.45210742260350617,0.1253684934873772,0.2477227732526549,0.4561660211712442,0.03754569190600522,0.0003879149571055576,0.2859704792499542
Label Noise,10% Noise,LightGBM,43,In-domain Test,0.06704332565600402,0.005863926673214475,0.12438257542556698,0.24807746849500822,0.48735974011203725,0.45615331819861676,0.12858379707185347,0.24807746865637376,0.4561660211712442,0.033137989898456614,0.0005983492599827535,0.2850334942340851
Label Noise,10% Noise,LightGBM,43,Shifted Test,0.06655432438705056,0.005507212610238045,0.1266569306048268,0.24770630103032082,0.47054698506851655,0.45210742260350617,0.12544985729751087,0.2477227732526549,0.4561660211712442,0.03475568817605371,0.000525923162998881,0.2856866121292114
Label Noise,10% Noise,LightGBM,44,In-domain Test,0.06308337113581103,0.0053899017611320115,0.12262661954842757,0.24807746849500822,0.4878409581629206,0.45615331819861676,0.1298374771195596,0.24807746865637376,0.4561660211712442,0.03885750488358587,0.002094222409939637,0.2859972417354584
Label Noise,10% Noise,LightGBM,44,Shifted Test,0.06652167134656001,0.005491346087333152,0.12671859452656448,0.24770630103032082,0.4704257522119263,0.45210742260350617,0.12535634291975378,0.2477227732526549,0.4561660211712442,0.03616933979858262,0.0014621409921671017,0.28592830896377563
Label Noise,10% Noise,Logistic Regression,42,In-domain Test,0.05952994256210655,0.005215637087365903,0.08904108397985833,0.24807746849500822,0.49133115762620566,0.45615331819861676,0.16336458265636247,0.24807746865637376,0.4561660211712442,0.07125635746088732,0.0,0.24154821038246155
Label Noise,10% Noise,Logistic Regression,42,Shifted Test,0.060130257046160006,0.005059682222256026,0.09381410149539939,0.24770630103032082,0.47467026311565497,0.45210742260350617,0.1580275753623517,0.2477227732526549,0.4561660211712442,0.08041402461767996,3.729951510630362e-06,0.24453194439411163
Label Noise,10% Noise,Logistic Regression,43,In-domain Test,0.05711813765567922,0.005306093569880937,0.08955684830620708,0.24807746849500822,0.49095721590713376,0.45615331819861676,0.16308877981647268,0.24807746865637376,0.4561660211712442,0.07044682610914595,0.0,0.2413426786661148
Label Noise,10% Noise,Logistic Regression,43,Shifted Test,0.06039927663826595,0.005042319635388059,0.09361538993130458,0.24770630103032082,0.4744836844279438,0.45210742260350617,0.1581766883209133,0.2477227732526549,0.4561660211712442,0.07713166728832525,3.729951510630362e-06,0.2438497394323349
Label Noise,10% Noise,Logistic Regression,44,In-domain Test,0.05550204095008026,0.005072078608546878,0.0889842862869325,0.24807746849500822,0.491723580900167,0.45615331819861676,0.16328855402266176,0.24807746865637376,0.4561660211712442,0.0716963201520511,0.0,0.2422766238451004
Label Noise,10% Noise,Logistic Regression,44,Shifted Test,0.05900029429083804,0.004870024653360277,0.09358486758304219,0.24770630103032082,0.4741587093498569,0.45210742260350617,0.158014189669301,0.2477227732526549,0.4561660211712442,0.08014919806042521,0.0,0.2450290322303772
Label Noise,20% Noise,LightGBM,42,In-domain Test,0.12885681631858883,0.020770236946703727,0.12184181748773242,0.24807746849500822,0.4944826904772483,0.45615331819861676,0.14551509046121666,0.24807746865637376,0.4561660211712442,0.00010559104587930944,0.0,0.21239708364009857
Label Noise,20% Noise,LightGBM,42,Shifted Test,0.13211518354480475,0.021201878529325924,0.12482631155911421,0.24770630103032082,0.48202231675278046,0.45210742260350617,0.14241584528603904,0.2477227732526549,0.4561660211712442,0.00013427825438269301,3.729951510630362e-06,0.2128704935312271
Label Noise,20% Noise,LightGBM,43,In-domain Test,0.12813170758829243,0.020762348259204262,0.1228403303051294,0.24807746849500822,0.494097919764416,0.45615331819861676,0.1445465618172363,0.24807746865637376,0.4561660211712442,0.00033437164528447985,0.0,0.21381019055843353
Label Noise,20% Noise,LightGBM,43,Shifted Test,0.13170986403612137,0.020885239097837145,0.12507564073319696,0.24770630103032082,0.48163030307908106,0.45210742260350617,0.1417799925999425,0.2477227732526549,0.4561660211712442,0.00023125699365908242,0.0,0.2142515927553177
Label Noise,20% Noise,LightGBM,44,In-domain Test,0.12659169827890743,0.020308354991081155,0.12125417695121027,0.24807746849500822,0.49445474021646946,0.45615331819861676,0.1456905541408555,0.24807746865637376,0.4561660211712442,0.0001935835841120673,1.7598507646551572e-05,0.21316394209861755
Label Noise,20% Noise,LightGBM,44,Shifted Test,0.13211640526613871,0.021131818073157158,0.1249271700872945,0.24770630103032082,0.48172002074023496,0.45210742260350617,0.14217006042243485,0.2477227732526549,0.4561660211712442,0.0002051473330846699,0.0,0.21320639550685883
Label Noise,20% Noise,Logistic Regression,42,In-domain Test,0.10652902434355602,0.016615449645572454,0.08716332520907935,0.24807746849500822,0.4964060443985752,0.45615331819861676,0.1759480650016657,0.24807746865637376,0.4561660211712442,0.0008447283670344755,0.0,0.1774737536907196
Label Noise,20% Noise,Logistic Regression,42,Shifted Test,0.11301986001415266,0.017412126350469057,0.09213051516796417,0.24770630103032082,0.4841770908714775,0.45210742260350617,0.17154489308138796,0.2477227732526549,0.4561660211712442,0.0012308839985080194,0.0,0.17993766069412231
Label Noise,20% Noise,Logistic Regression,43,In-domain Test,0.10566966504313809,0.0165599297915384,0.08758670930856227,0.24807746849500822,0.4958374831456591,0.45615331819861676,0.17542042708472005,0.24807746865637376,0.4561660211712442,0.0007919328440948208,0.0,0.1783902645111084
Label Noise,20% Noise,Logistic Regression,43,Shifted Test,0.11327989464015024,0.017301175360168616,0.0922418300156573,0.24770630103032082,0.4838088245184363,0.45210742260350617,0.1713397907559088,0.2477227732526549,0.4561660211712442,0.0009772472957851547,0.0,0.18036772310733795
Label Noise,20% Noise,Logistic Regression,44,In-domain Test,0.10504559163242339,0.016471399763188673,0.08740670172803162,0.24807746849500822,0.49651897382302884,0.45615331819861676,0.17567508062776854,0.24807746865637376,0.4561660211712442,0.000985516428206888,0.0,0.17837005853652954
Label Noise,20% Noise,Logistic Regression,44,Shifted Test,0.11150330838787276,0.017124005438437336,0.09209184435518934,0.24770630103032082,0.4839610857416482,0.45210742260350617,0.17132761890938536,0.2477227732526549,0.4561660211712442,0.001174934725848564,0.0,0.1807442009449005
Label Noise,5% Noise,LightGBM,42,In-domain Test,0.03642692557351303,0.0017720374026161903,0.12411798814620965,0.24807746849500822,0.4826599246619112,0.45615331819861676,0.1249281894606012,0.24807746865637376,0.4561660211712442,0.23516885768086868,0.04857188110448234,0.3228393495082855
Label Noise,5% Noise,LightGBM,42,Shifted Test,0.03375242521766301,0.0014064375770332536,0.12745735345554712,0.24770630103032082,0.4632947507428828,0.45210742260350617,0.12080440365542218,0.2477227732526549,0.4561660211712442,0.25466989929130923,0.04452816113390526,0.32383936643600464
Label Noise,5% Noise,LightGBM,43,In-domain Test,0.03713408203273469,0.0018845397537579193,0.1249764431851429,0.24807746849500822,0.4824005312573976,0.45615331819861676,0.12430416384131304,0.24807746865637376,0.4561660211712442,0.23124439047568765,0.05001495873149957,0.3220948576927185
Label Noise,5% Noise,LightGBM,43,Shifted Test,0.03395904887745872,0.0014345810020560822,0.12751477304880612,0.24770630103032082,0.4634258328160498,0.45210742260350617,0.1208581712641115,0.2477227732526549,0.4561660211712442,0.251230883998508,0.0466467735919433,0.32340091466903687
Label Noise,5% Noise,LightGBM,44,In-domain Test,0.034905956306915356,0.00165562552981369,0.12333980375152993,0.24807746849500822,0.48289245208224785,0.45615331819861676,0.1256488406052706,0.24807746865637376,0.4561660211712442,0.23740386815198072,0.052003590095559896,0.32293397188186646
Label Noise,5% Noise,LightGBM,44,Shifted Test,0.0346036107650187,0.0014888534864159113,0.1275510468619777,0.24770630103032082,0.46332393575468406,0.45210742260350617,0.1208593860555542,0.2477227732526549,0.4561660211712442,0.25316672883252517,0.045941812756434164,0.32279425859451294
Label Noise,5% Noise,Logistic Regression,42,In-domain Test,0.03318143277325051,0.001979558731070097,0.08979500904697062,0.24807746849500822,0.48745028948838104,0.45615331819861676,0.15946573790390406,0.24807746865637376,0.4561660211712442,0.15770022702074865,0.0003167731376379283,0.2753019630908966
Label Noise,5% Noise,Logistic Regression,42,Shifted Test,0.031177005989885466,0.0014484501327324457,0.09459431603313624,0.24770630103032082,0.46813430630570113,0.45210742260350617,0.15387840178999407,0.2477227732526549,0.4561660211712442,0.1713390525923163,0.00026855650876538603,0.27828526496887207
Label Noise,5% Noise,Logistic Regression,43,In-domain Test,0.03258614495154765,0.0020478184526374127,0.0902832428283115,0.24807746849500822,0.48724441057080564,0.45615331819861676,0.15918328597435677,0.24807746865637376,0.4561660211712442,0.1584041673266107,0.000369568660577583,0.2748280465602875
Label Noise,5% Noise,Logistic Regression,43,Shifted Test,0.032193688066616,0.001509457291382051,0.09457529450365158,0.24770630103032082,0.468476507417384,0.45210742260350617,0.15394189952542725,0.2477227732526549,0.4561660211712442,0.17021260723610593,0.0002834763148079075,0.27743712067604065
Label Noise,5% Noise,Logistic Regression,44,In-domain Test,0.033135905414410624,0.0019908134162523908,0.08972800920477841,0.24807746849500822,0.48814844649743405,0.45615331819861676,0.15954735976692686,0.24807746865637376,0.4561660211712442,0.1560459673019728,0.00022878059940517045,0.2749662697315216
Label Noise,5% Noise,Logistic Regression,44,Shifted Test,0.03176326647655227,0.001482385760057937,0.09460676532085043,0.24770630103032082,0.46818484678763134,0.45210742260350617,0.15391263467602895,0.2477227732526549,0.4561660211712442,0.16942931741887354,0.00021633718761656097,0.27769482135772705
