Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,44,Shifted Test,0.6313671178260414,0.18745499774482116,0.24884637761002665
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,44,In-domain Test,0.6679348431389797,0.2233485900799622,0.22648733764454695
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,44,Shifted Test,0.6522770141876216,0.198807896158551,0.22883122643715878
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,44,In-domain Test,0.6132249385070212,0.1888576207603973,0.2413027198235712
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,44,Shifted Test,0.6307028526795603,0.18981195380400662,0.26032970886447954
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,44,In-domain Test,0.6590975082693235,0.2187142355723543,0.23366096162397973
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,44,Shifted Test,0.6280304037118641,0.17741873865036545,0.2748231119094511
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,44,In-domain Test,0.5954878388603956,0.17595516403945186,0.24609904582404263
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,44,Shifted Test,0.6083794401893238,0.17226003896825093,0.2736530396684807
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,44,In-domain Test,0.6360962862074868,0.19788334032985794,0.2413295025647554
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,44,Shifted Test,0.5930360577763788,0.1591038116151154,0.3153707545720239
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,44,In-domain Test,0.6306131792557462,0.20418943630683267,0.228598171559372
Missingness,MCAR,0.0,MCAR,0.0,None,Logistic Regression,44,Shifted Test,0.6253402347894006,0.18269998131507165,0.22974091317089393
Missingness,MCAR,0.0,MCAR,0.0,None,LightGBM,44,In-domain Test,0.6747521314342932,0.23344809355999527,0.2145486939088135
Missingness,MCAR,0.0,MCAR,0.0,None,LightGBM,44,Shifted Test,0.6630158896699658,0.20913814931697866,0.21518672185248008
Missingness,MCAR,0.0,MCAR,0.1,None,Logistic Regression,44,In-domain Test,0.6284132568108702,0.20337882434533125,0.22848762552610202
Missingness,MCAR,0.0,MCAR,0.1,None,Logistic Regression,44,Shifted Test,0.6230916657923268,0.18199535082964455,0.2274197198655115
Missingness,MCAR,0.0,MCAR,0.1,None,LightGBM,44,In-domain Test,0.6736323999414379,0.22840423309808178,0.21423066126154758
Missingness,MCAR,0.0,MCAR,0.1,None,LightGBM,44,Shifted Test,0.6550230242833328,0.19812336781832574,0.2147719520023329
Missingness,MCAR,0.0,MCAR,0.2,None,Logistic Regression,44,In-domain Test,0.6278040733571084,0.20361786102525564,0.2277041276544523
Missingness,MCAR,0.0,MCAR,0.2,None,Logistic Regression,44,Shifted Test,0.6232364564753611,0.18182509679836426,0.2239507762494186
Missingness,MCAR,0.0,MCAR,0.2,None,LightGBM,44,In-domain Test,0.6788278782502599,0.2326182415968715,0.2132596350095271
Missingness,MCAR,0.0,MCAR,0.2,None,LightGBM,44,Shifted Test,0.663056109304142,0.20046865902564825,0.2150072467730889
Missingness,MAR_Female,0.0,MAR_Female,0.0,None,Logistic Regression,44,In-domain Test,0.6306131792557462,0.20418943630683267,0.228598171559372
