Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,5,2087,0.5609543022780425,0.06468615237182558
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,6,2959,0.6453189118845554,0.09665427509293681
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,7,1214,0.7400260080124637,0.15980230642504117
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,8,296,0.8367789713917552,0.2195945945945946
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,9,63,0.9362803044773284,0.3333333333333333
Feature Shift,Medications,LightGBM,42,In-domain Test,0,171,0.07964419728221252,0.005847953216374269
Feature Shift,Medications,LightGBM,42,In-domain Test,1,1370,0.15988224485386027,0.03941605839416058
Feature Shift,Medications,LightGBM,42,In-domain Test,2,3470,0.25330548824941046,0.06368876080691642
Feature Shift,Medications,LightGBM,42,In-domain Test,3,2808,0.34489077034584137,0.08796296296296297
Feature Shift,Medications,LightGBM,42,In-domain Test,4,2634,0.4522339616567688,0.12452543659832954
Feature Shift,Medications,LightGBM,42,In-domain Test,5,2330,0.5431864857417831,0.15836909871244637
Feature Shift,Medications,LightGBM,42,In-domain Test,6,899,0.6436799338980432,0.24026696329254726
Feature Shift,Medications,LightGBM,42,In-domain Test,7,426,0.7439707540010623,0.3051643192488263
Feature Shift,Medications,LightGBM,42,In-domain Test,8,84,0.8332815241245997,0.47619047619047616
Feature Shift,Medications,LightGBM,42,In-domain Test,9,0,,
Feature Shift,Medications,LightGBM,42,Shifted Test,0,70,0.08103961340550865,0.0
Feature Shift,Medications,LightGBM,42,Shifted Test,1,576,0.1585113219399419,0.04513888888888889
Feature Shift,Medications,LightGBM,42,Shifted Test,2,1443,0.25313130554976104,0.06514206514206514
Feature Shift,Medications,LightGBM,42,Shifted Test,3,1394,0.3475101519605864,0.07317073170731707
Feature Shift,Medications,LightGBM,42,Shifted Test,4,1352,0.45064271816752366,0.11538461538461539
Feature Shift,Medications,LightGBM,42,Shifted Test,5,1308,0.5417997425575869,0.13149847094801223
Feature Shift,Medications,LightGBM,42,Shifted Test,6,474,0.6382830840877339,0.21308016877637131
Feature Shift,Medications,LightGBM,42,Shifted Test,7,124,0.7476515875708672,0.28225806451612906
Feature Shift,Medications,LightGBM,42,Shifted Test,8,35,0.8328216229166303,0.4857142857142857
Feature Shift,Medications,LightGBM,42,Shifted Test,9,5,0.911521029472351,0.6
